List	Display	POS	Source Entry ID	Hebrew source	A2 definition or synonyms	English example	Hebrew example	Record sense (English)	Record sense (Hebrew)	Repeated entry	Same-entry record IDs	Sense scope
A	change	Verb	A1-017	לשנות; להשתנות	become different; make something different	The weather can change quickly.	מזג האוויר יכול להשתנות במהירות.	become different; make something different	לשנות; להשתנות	FALSE		single-entry
A	characteristic	Noun	A3-048	מְאַפְיֵן	a usual or special quality	Patience is an important characteristic of a good teacher.	סבלנות היא תכונה חשובה של מורה טוב.	a usual or special quality	מְאַפְיֵן	FALSE		single-entry
A	claim	Verb	A3-070	תָּבַע; טָעַן	say that something is true	The company claims that the product is safe.	החברה טוענת שהמוצר בטוח.	say that something is true	תָּבַע; טָעַן	FALSE		single-entry
A	come after/first/last	Phrase	A1-070	לבוא אחרי; ראשון; אחרון	be in a later, first or last position	The short questions come after the reading text.	השאלות הקצרות מופיעות אחרי קטע הקריאה.	be in a later, first or last position	לבוא אחרי; ראשון; אחרון	FALSE		single-entry
A	common	Adjective	A2-070	נפוץ; רגיל; משותף	usual; shared by many	This is a common mistake.	זוהי טעות נפוצה.	usual; shared by many	נפוץ; רגיל; משותף	FALSE		single-entry
A	complicated	Adjective	A2-008	מְסֻבָּךְ; מֻרְכָּב	difficult to understand or deal with	The instructions seemed complicated at first.	ההוראות נראו מסובכות בהתחלה.	difficult to understand or deal with	מְסֻבָּךְ; מֻרְכָּב	FALSE		single-entry
A	concern	Verb	A1-065	להדאיג; לעסוק ב־; להיות נוגע ל־	worry someone; be about something	The rising cost concerns many families.	העלות העולה מדאיגה משפחות רבות.	worry someone; be about something	להדאיג; לעסוק ב־; להיות נוגע ל־	FALSE		single-entry
A	conditions	Noun	A3-032	תנאים; נסיבות	the situation in which people or things exist	The workers asked for safer conditions.	העובדים ביקשו תנאים בטוחים יותר.	the situation in which people or things exist	תנאים; נסיבות	FALSE		single-entry
A	conduct	Verb	A1-013	נִהֵל; הוֹבִיל; לִוָּה	organize and carry out	The class conducted a short survey.	הכיתה ערכה סקר קצר.	organize and carry out	נִהֵל; הוֹבִיל; לִוָּה	FALSE		single-entry
A	consequence	Noun	A3-007	תּוֹצָאָה; הַשְׁלָכָה; חֲשִׁיבוּת	a result of an action or event	One consequence of the storm was a power cut.	אחת מתוצאות הסופה הייתה הפסקת חשמל.	a result of an action or event	תּוֹצָאָה; הַשְׁלָכָה; חֲשִׁיבוּת	FALSE		single-entry
A	considerable	Adjective	A3-014	נִכָּר; בּוֹלֵט; חָשׁוּב	large or important	The project required considerable effort.	הפרויקט דרש מאמץ רב.	large or important	נִכָּר; בּוֹלֵט; חָשׁוּב	FALSE		single-entry
A	cope	Verb	A1-036	הִתְמוֹדֵד	deal successfully with something difficult	She learned to cope with the pressure.	היא למדה להתמודד עם הלחץ.	deal successfully with something difficult	הִתְמוֹדֵד	FALSE		single-entry
A	critic	Noun	A3-058	מבקר; אדם שנותן ביקורת	a person who judges or gives opinions	The film critic wrote a positive review.	מבקר הסרטים כתב ביקורת חיובית.	a person who judges or gives opinions	מבקר; אדם שנותן ביקורת	FALSE		single-entry
A	current	Adjective	A2-031	נוֹכְחִי; שׁוֹטֵף; שָׁגוּר	happening or existing now	The article describes the current situation.	המאמר מתאר את המצב הנוכחי.	happening or existing now	נוֹכְחִי; שׁוֹטֵף; שָׁגוּר	FALSE		single-entry
A	decrease	Noun	A2-069	הַפְחָתָה; צִמְצוּם	a reduction in size, number or amount	There was a decrease in road accidents.	חלה ירידה במספר תאונות הדרכים.	a reduction in size, number or amount	הַפְחָתָה; צִמְצוּם	TRUE	A1-068	record-specific
A	decrease	Verb	A1-068	להפחית; לצמצם; לרדת; להצטמצם	become or make smaller	Prices may decrease next month.	המחירים עשויים לרדת בחודש הבא.	become or make smaller	להפחית; לצמצם; לרדת; להצטמצם	TRUE	A2-069	record-specific
A	delayed	Adjective	A2-073	מְעֻכָּב; דָּחוּי	happening later than planned	The delayed train arrived at noon.	הרכבת שהתעכבה הגיעה בצהריים.	happening later than planned	מְעֻכָּב; דָּחוּי	FALSE		single-entry
A	deliberately	Adverb	A1-029	בְּכַוָּנָה; בְּמִתְכַּוֵּן; בִּמְכֻוָּן	on purpose	He deliberately left the answer blank.	הוא השאיר בכוונה את התשובה ריקה.	on purpose	בְּכַוָּנָה; בְּמִתְכַּוֵּן; בִּמְכֻוָּן	FALSE		single-entry
A	demonstrate	Verb	A2-024	הִדְגִּים; הִצִּיג; הוֹכִיחַ	show clearly; protest in public	The teacher demonstrated how to use the tool.	המורה הדגים כיצד להשתמש בכלי.	show clearly; protest in public	הִדְגִּים; הִצִּיג; הוֹכִיחַ	FALSE		single-entry
A	design	Noun	A3-024	תָּכְנִית; תִּכְנוּן; עִצּוּב	a plan for how something will look or work	The building has a simple design.	לבניין יש עיצוב פשוט.	a plan for how something will look or work	תָּכְנִית; תִּכְנוּן; עִצּוּב	FALSE		single-entry
A	destruction	Noun	A1-004	הֶרֶס; חֻרְבָּן; הַשְׁמָדָה	very serious damage	The fire caused the destruction of several homes.	השרפה גרמה להרס של כמה בתים.	very serious damage	הֶרֶס; חֻרְבָּן; הַשְׁמָדָה	FALSE		single-entry
A	development	Noun	A1-039	התפתחות; פיתוח	growth, change or a new event	The new hospital is an important development.	בית החולים החדש הוא התפתחות חשובה.	growth, change or a new event	התפתחות; פיתוח	FALSE		single-entry
A	disagreement	Noun	A3-067	אִי-הַסְכָּמָה; חִלּוּקֵי דֵּעוֹת; מַחֲלֹקֶת	a situation in which people have different opinions	The two friends had a disagreement about money.	לשני החברים היו חילוקי דעות בנוגע לכסף.	a situation in which people have different opinions	אִי-הַסְכָּמָה; חִלּוּקֵי דֵּעוֹת; מַחֲלֹקֶת	FALSE		single-entry
A	disaster	Noun	A3-023	אָסוֹן	an event that causes great harm	The earthquake was a terrible disaster.	רעידת האדמה הייתה אסון נורא.	an event that causes great harm	אָסוֹן	FALSE		single-entry
A	discovery	Noun	A2-072	תַּגְלִית; גִּלּוּי	something found or learned for the first time	The scientists announced an important discovery.	המדענים הודיעו על תגלית חשובה.	something found or learned for the first time	תַּגְלִית; גִּלּוּי	FALSE		single-entry
A	dislike	Noun	A1-055	סְלִידָה; הִתְנַגְּדוּת; מֹרַת רוּחַ	a feeling of not liking someone or something	He has a strong dislike of loud music.	יש לו סלידה חזקה ממוזיקה רועשת.	a feeling of not liking someone or something	סְלִידָה; הִתְנַגְּדוּת; מֹרַת רוּחַ	TRUE	A1-038	record-specific
A	dislike	Verb	A1-038	שָׂנֵא; תִּעֵב	not like	Many children dislike waking up early.	ילדים רבים אינם אוהבים לקום מוקדם.	not like	שָׂנֵא; תִּעֵב	TRUE	A1-055	record-specific
A	do	Auxiliary verb	A1-061	פועל עזר להדגשה	used before another verb to make a statement stronger	I do understand your concern.	אני בהחלט מבין את דאגתך.	used before another verb to make a statement stronger	פועל עזר להדגשה	FALSE		single-entry
A	doubt	Verb	A1-079	הֵטִיל סָפֵק	feel unsure that something is true	I doubt that the story is true.	אני מטיל ספק בכך שהסיפור אמיתי.	feel unsure that something is true	הֵטִיל סָפֵק	FALSE		single-entry
A	drop	Noun	A2-048	טִפָּה; נְפִילָה; צְנִיחָה	a small amount of liquid; a fall	A drop of rain fell on the page.	טיפת גשם נפלה על הדף.	a small amount of liquid; a fall	טִפָּה; נְפִילָה; צְנִיחָה	TRUE	A2-005; D2-035; D3-055	record-specific
A	drop	Verb	A2-005	ליפול; לצנוח; להפיל	fall; let something fall	Be careful not to drop the glass.	היזהר שלא להפיל את הכוס.	fall; let something fall	ליפול; לצנוח; להפיל	TRUE	A2-048; D2-035; D3-055	record-specific
A	educate	Verb	A2-064	חִנֵּךְ	teach and help someone learn	Schools educate young people for the future.	בתי ספר מחנכים צעירים לקראת העתיד.	teach and help someone learn	חִנֵּךְ	FALSE		single-entry
A	efficient	Adjective	A3-068	יָעִיל	working well without wasting time or energy	The new system is simple and efficient.	המערכת החדשה פשוטה ויעילה.	working well without wasting time or energy	יָעִיל	FALSE		single-entry
A	emphasis	Noun	A2-023	דָּגֵשׁ; הַדְגָּשָׁה; הַבְלָטָה	special attention or importance	The course places emphasis on speaking.	הקורס שם דגש על דיבור.	special attention or importance	דָּגֵשׁ; הַדְגָּשָׁה; הַבְלָטָה	FALSE		single-entry
A	enjoyable	Adjective	A2-001	מְהַנֶּה	pleasant and fun	We had an enjoyable evening together.	בילינו יחד ערב מהנה.	pleasant and fun	מְהַנֶּה	FALSE		single-entry
A	essay	Noun	A1-044	חיבור; מאמר	a short piece of writing about a subject	She wrote an essay about city life.	היא כתבה חיבור על החיים בעיר.	a short piece of writing about a subject	חיבור; מאמר	FALSE		single-entry
A	essentially	Adverb	A1-040	ביסודו; במהותו; בְּעִקָּרוֹ שֶׁל דָּבָר	in the most important way; basically	The two plans are essentially the same.	שתי התוכניות זהות בעיקרן.	in the most important way; basically	ביסודו; במהותו; בְּעִקָּרוֹ שֶׁל דָּבָר	FALSE		single-entry
A	even if	Phrase	A1-022	גם אם	whether or not something happens	I will walk to school even if it rains.	אלך ברגל לבית הספר גם אם ירד גשם.	whether or not something happens	גם אם	FALSE		single-entry
A	even though	Phrase	A1-016	אף על פי ש־	although something is true	Even though he was tired, he finished his homework.	אף על פי שהיה עייף, הוא סיים את שיעורי הבית.	although something is true	אף על פי ש־	FALSE		single-entry
A	event	Noun	A3-079	מְאֹרָע; אֵרוּעַ; מִקְרֶה	something that happens; an organized activity	The school event begins at six.	האירוע בבית הספר מתחיל בשש.	something that happens; an organized activity	מְאֹרָע; אֵרוּעַ; מִקְרֶה	FALSE		single-entry
A	exactly	Adverb	A2-022	בְּדִיּוּק	completely correctly; in full agreement	That is exactly what I meant.	לזה בדיוק התכוונתי.	completely correctly; in full agreement	בְּדִיּוּק	FALSE		single-entry
A	except that	Phrase	A3-054	מלבד העובדה ש־	but with one difference	The rooms are the same, except that one has a balcony.	החדרים זהים, אלא שלאחד מהם יש מרפסת.	but with one difference	מלבד העובדה ש־	FALSE		single-entry
A	exist	Verb	A2-044	הִתְקַיֵּם	be real or present	Some plants can exist with very little water.	צמחים מסוימים יכולים להתקיים עם מעט מאוד מים.	be real or present	הִתְקַיֵּם	FALSE		single-entry
A	extraordinary	Adjective	A3-047	יוֹצֵא מִן הַכְּלָל	very unusual or special	She showed extraordinary courage.	היא הפגינה אומץ יוצא מן הכלל.	very unusual or special	יוֹצֵא מִן הַכְּלָל	FALSE		single-entry
A	feature	Noun	A3-034	מאפיין; תכונה	an important or noticeable part	The camera has a useful new feature.	למצלמה יש תכונה חדשה ושימושית.	an important or noticeable part	מאפיין; תכונה	FALSE		single-entry
A	feedback	Noun	A2-059	מָשׁוֹב; הִזּוּן חוֹזֵר; פִידְבֶּק	comments that help someone improve	The teacher gave helpful feedback on my writing.	המורה נתן משוב מועיל על הכתיבה שלי.	comments that help someone improve	מָשׁוֹב; הִזּוּן חוֹזֵר; פִידְבֶּק	FALSE		single-entry
A	figure	Noun	A3-059	סִפְרָה; מִסְפָּר; צוּרָה	a number, shape or picture	The sales figure increased this year.	נתון המכירות עלה השנה.	a number, shape or picture	סִפְרָה; מִסְפָּר; צוּרָה	FALSE		single-entry
A	financial	Adjective	A3-002	כַּסְפִּי; פִינַנְסִי	connected with money	The family needed financial help.	המשפחה נזקקה לעזרה כספית.	connected with money	כַּסְפִּי; פִינַנְסִי	FALSE		single-entry
A	finding/findings	Noun	A2-066	ממצא; תוצאות מחקר	a result learned from research	The main finding surprised the researchers.	הממצא העיקרי הפתיע את החוקרים.	a result learned from research	ממצא; תוצאות מחקר	FALSE		single-entry
A	flexible	Adjective	A3-004	גָּמִישׁ	able to change easily when needed	Our schedule is flexible.	לוח הזמנים שלנו גמיש.	able to change easily when needed	גָּמִישׁ	FALSE		single-entry
A	flood	Noun	A1-080	שִׁטָּפוֹן; הֲצָפָה; מַבּוּל	water covering land that is usually dry	The flood damaged many houses.	השיטפון גרם נזק לבתים רבים.	water covering land that is usually dry	שִׁטָּפוֹן; הֲצָפָה; מַבּוּל	TRUE	A2-002	record-specific
A	flood	Verb	A2-002	הֵצִיף; שָׁטַף	cover a place with too much water	Heavy rain flooded the road.	גשם כבד הציף את הכביש.	cover a place with too much water	הֵצִיף; שָׁטַף	TRUE	A1-080	record-specific
A	flu	Noun	A2-049	שפעת	an illness like a bad cold	She stayed home because she had the flu.	היא נשארה בבית כי הייתה לה שפעת.	an illness like a bad cold	שפעת	FALSE		single-entry
A	focus	Noun	A1-056	פוֹקוּס; מוֹקֵד	the main point of attention	Safety is the main focus of the meeting.	הבטיחות היא הנושא המרכזי של הפגישה.	the main point of attention	פוֹקוּס; מוֹקֵד	FALSE		single-entry
A	focus on/upon	Phrase	A3-003	להתמקד ב־	give special attention to someone or something	Please focus on the main idea of the paragraph.	נא להתמקד ברעיון המרכזי של הפסקה.	give special attention to someone or something	להתמקד ב־	FALSE		single-entry
A	frequent	Adjective	A1-075	תָּדִיר	happening often	Frequent practice improves your English.	תרגול תכוף משפר את האנגלית שלכם.	happening often	תָּדִיר	FALSE		single-entry
A	fresh	Adjective	A2-025	טָרִי; רַעֲנָן; חָדִישׁ	new, recent or not spoiled	We bought fresh bread this morning.	קנינו לחם טרי הבוקר.	new, recent or not spoiled	טָרִי; רַעֲנָן; חָדִישׁ	FALSE		single-entry
A	frighten	Verb	A1-015	הִפְחִיד; הִבְהִיל	make someone feel afraid	The sudden noise frightened the child.	הרעש הפתאומי הפחיד את הילד.	make someone feel afraid	הִפְחִיד; הִבְהִיל	FALSE		single-entry
A	from	Preposition	A3-026	מ־; מאת; החל מ־	used to show a starting place, time or source	The train goes from Haifa to Tel Aviv.	הרכבת נוסעת מחיפה לתל אביב.	used to show a starting place, time or source	מ־; מאת; החל מ־	FALSE		single-entry
A	gain	Noun	A2-013	רווח; יתרון; עלייה	an increase or benefit	The change brought a small gain in speed.	השינוי הביא לשיפור קטן במהירות.	an increase or benefit	רווח; יתרון; עלייה	TRUE	A3-001	record-specific
A	gain	Verb	A3-001	הִרְוִיחַ; הִשִּׂיג	get or increase	Students gain confidence through practice.	תלמידים צוברים ביטחון באמצעות תרגול.	get or increase	הִרְוִיחַ; הִשִּׂיג	TRUE	A2-013	record-specific
A	generate	Verb	A1-031	יָצַר; חוֹלֵל	produce or create	Solar panels generate electricity.	לוחות סולאריים מייצרים חשמל.	produce or create	יָצַר; חוֹלֵל	FALSE		single-entry
A	guidance	Noun	A3-020	הַנְהָגָה; הַנְחָיָה; הַכְוָנָה	advice that helps someone decide what to do	Students can ask the counselor for guidance.	תלמידים יכולים לבקש הדרכה מהיועץ.	advice that helps someone decide what to do	הַנְהָגָה; הַנְחָיָה; הַכְוָנָה	FALSE		single-entry
A	hopefully	Adverb	A3-056	בתקווה	used to say that you hope something will happen	Hopefully, the weather will improve tomorrow.	יש לקוות שמזג האוויר ישתפר מחר.	used to say that you hope something will happen	בתקווה	FALSE		single-entry
A	ideal	Adjective	A3-028	אִידֵאָלִי; השואף לשלמות	perfect or most suitable	This quiet room is ideal for studying.	החדר השקט הזה אידיאלי ללימוד.	perfect or most suitable	אִידֵאָלִי; השואף לשלמות	FALSE		single-entry
A	illness	Noun	A3-074	חֹלִי; מַחֲלָה	a condition of being sick	He missed school because of an illness.	הוא נעדר מבית הספר בגלל מחלה.	a condition of being sick	חֹלִי; מַחֲלָה	FALSE		single-entry
A	illustrate	Verb	A2-077	הִמְחִישׁ; הִדְגִּים; אִיֵּר	explain by using a picture or example	The chart illustrates the change in temperature.	התרשים ממחיש את השינוי בטמפרטורה.	explain by using a picture or example	הִמְחִישׁ; הִדְגִּים; אִיֵּר	FALSE		single-entry
A	image	Noun	A2-019	תמונה; דמות; בבואה; תדמית	a picture or the idea people have of something	The screen displayed a clear image.	המסך הציג תמונה ברורה.	a picture or the idea people have of something	תמונה; דמות; בבואה; תדמית	FALSE		single-entry
A	in	Preposition	A1-034	ב־; בתוך; במהלך	inside a place, during a time or showing a particular state	The children are in the garden.	הילדים נמצאים בגינה.	inside a place, during a time or showing a particular state	ב־; בתוך; במהלך	FALSE		single-entry
A	in actual fact	Phrase	A2-062	למעשה	used to show what is really true	It looked easy, but in actual fact it was difficult.	זה נראה קל, אבל למעשה זה היה קשה.	used to show what is really true	למעשה	FALSE		single-entry
A	in connection with	Phrase	A3-025	בקשר ל־	related to a person, event or subject	Police questioned him in connection with the accident.	המשטרה חקרה אותו בקשר לתאונה.	related to a person, event or subject	בקשר ל־	FALSE		single-entry
A	in terms of	Phrase	A3-006	מבחינת; במונחים של	when considering a particular part of something	The plan is good in terms of cost.	התוכנית טובה מבחינת העלות.	when considering a particular part of something	מבחינת; במונחים של	FALSE		single-entry
A	in that case	Phrase	A2-054	במקרה כזה	used to say what should happen if that is true	In that case, we should leave earlier.	במקרה כזה, עלינו לצאת מוקדם יותר.	used to say what should happen if that is true	במקרה כזה	FALSE		single-entry
A	in the meantime	Phrase	A3-064	בינתיים	during the time before something else happens	Dinner will be ready soon; in the meantime, set the table.	ארוחת הערב תהיה מוכנה בקרוב; בינתיים, ערכו את השולחן.	during the time before something else happens	בינתיים	FALSE		single-entry
A	initial	Adjective	A2-017	הַתְחָלָתִי; רִאשׁוֹנִי	first	Our initial plan was too expensive.	התוכנית הראשונית שלנו הייתה יקרה מדי.	first	הַתְחָלָתִי; רִאשׁוֹנִי	TRUE	D2-040	record-specific
A	instruction	Noun	A3-077	הַדְרָכָה; הַנְחָיָה; הוֹרָאָה	information that tells someone what to do	Read each instruction carefully.	קראו כל הוראה בקפידה.	information that tells someone what to do	הַדְרָכָה; הַנְחָיָה; הוֹרָאָה	FALSE		single-entry
A	intelligence	Noun	A1-058	אִינְטֶלִיגֶנְצְיָה; מִשְׂכָּל; פִּקְּחוּת	the ability to learn and understand	The test measures several kinds of intelligence.	המבחן מודד כמה סוגים של אינטליגנציה.	the ability to learn and understand	אִינְטֶלִיגֶנְצְיָה; מִשְׂכָּל; פִּקְּחוּת	FALSE		single-entry
A	interest	Noun	A3-057	עִנְיָן; הִתְעַנְיְנוּת; תחום עניין	curiosity; an activity someone enjoys	Her interest in science began at school.	העניין שלה במדע החל בבית הספר.	curiosity; an activity someone enjoys	עִנְיָן; הִתְעַנְיְנוּת; תחום עניין	TRUE	A3-009	record-specific
A	interest	Verb	A3-009	עִנְיֵן	make someone curious	The story may interest young readers.	הסיפור עשוי לעניין קוראים צעירים.	make someone curious	עִנְיֵן	TRUE	A3-057	record-specific
A	introduce	Verb	A1-046	להציג; לערוך היכרות; להכניס	present someone or something for the first time	The teacher introduced a new topic.	המורה הציג נושא חדש.	present someone or something for the first time	להציג; לערוך היכרות; להכניס	FALSE		single-entry
A	invest	Verb	A1-059	להשקיע	put in money, time or effort for a future benefit	They invested money in a small business.	הם השקיעו כסף בעסק קטן.	put in money, time or effort for a future benefit	להשקיע	FALSE		single-entry
A	investigate	Verb	A3-021	חָקַר	try to discover the facts	Police are investigating the accident.	המשטרה חוקרת את התאונה.	try to discover the facts	חָקַר	FALSE		single-entry
A	just about	Phrase	A3-044	כמעט; בערך	almost, but not completely	We have just about enough food for everyone.	יש לנו כמעט מספיק אוכל לכולם.	almost, but not completely	כמעט; בערך	FALSE		single-entry
A	keep on doing	Phrase	A2-028	להמשיך לעשות	continue to do the same action	She kept on working after everyone else had left.	היא המשיכה לעבוד אחרי שכל השאר עזבו.	continue to do the same action	להמשיך לעשות	FALSE		single-entry
A	kind of	Phrase	A1-027	קצת; מעין	a little or in some way	This puzzle is kind of difficult.	הפאזל הזה די קשה.	a little or in some way	קצת; מעין	FALSE		single-entry
A	knowledge	Noun	A2-003	יֶדַע; מוּדָעוּת	information and understanding	Reading increases our knowledge of the world.	קריאה מרחיבה את הידע שלנו על העולם.	information and understanding	יֶדַע; מוּדָעוּת	FALSE		single-entry
A	lack	Verb	A1-021	חָסַר	not have enough of something	The village lacks clean water.	לכפר חסרים מים נקיים.	not have enough of something	חָסַר	FALSE		single-entry
A	landscape	Noun	A1-077	נוֹף	the visible features of an area of land	The desert landscape was beautiful.	הנוף המדברי היה יפהפה.	the visible features of an area of land	נוֹף	FALSE		single-entry
A	likely	Adjective	A1-074	סָבִיר; מִתְקַבֵּל עַל הַדַּעַת; אֶפְשָׁרִי	probable	Rain is likely this evening.	צפוי גשם הערב.	probable	סָבִיר; מִתְקַבֵּל עַל הַדַּעַת; אֶפְשָׁרִי	TRUE	A3-012	record-specific
A	likely	Adverb	A3-012	כנראה; קרוב לוודאי	probably	The team will likely arrive late.	הצוות כנראה יגיע באיחור.	probably	כנראה; קרוב לוודאי	TRUE	A1-074	record-specific
A	limited	Adjective	A3-031	מֻגְבָּל	small in amount or number	Only a limited number of tickets remain.	נותר רק מספר מוגבל של כרטיסים.	small in amount or number	מֻגְבָּל	FALSE		single-entry
A	little	Adjective	A1-008	קָטָן; מוּעָט	small in size or amount	We had little time to prepare.	היה לנו מעט זמן להתכונן.	small in size or amount	קָטָן; מוּעָט	FALSE		single-entry
A	look at	Phrase	A3-030	להסתכל על; לבחון	direct your eyes or attention toward something	Let’s look at the results together.	בואו נבחן יחד את התוצאות.	direct your eyes or attention toward something	להסתכל על; לבחון	FALSE		single-entry
A	low	Adverb	A2-018	נמוך; בגובה או ברמה נמוכים	at a small height, amount or level	The plane flew low over the field.	המטוס טס נמוך מעל השדה.	at a small height, amount or level	נמוך; בגובה או ברמה נמוכים	FALSE		single-entry
A	material	Noun	A2-071	חומר; חומר לימוד	information, documents or a substance used to make things	The teacher uploaded the study material.	המורה העלה את חומר הלימוד.	information, documents or a substance used to make things	חומר; חומר לימוד	FALSE		single-entry
A	mean	Verb	A1-041	הִתְכַּוֵּן; סִמֵּן; צִיֵּן	have a particular meaning or purpose	What does this expression mean?	מה פירוש הביטוי הזה?	have a particular meaning or purpose	הִתְכַּוֵּן; סִמֵּן; צִיֵּן	FALSE		single-entry
A	means	Noun	A3-041	אמצעי; דרך	a method or way	Email is a useful means of communication.	דוא״ל הוא אמצעי תקשורת שימושי.	a method or way	אמצעי; דרך	FALSE		single-entry
A	measure	Noun	A2-038	צעד; אמצעי; מידה	an action taken to achieve something	The school introduced a safety measure.	בית הספר הנהיג אמצעי בטיחות.	an action taken to achieve something	צעד; אמצעי; מידה	FALSE		single-entry
A	mention	Noun	A2-041	אִזְכּוּר; הַזְכָּרָה; הִתְיַחֲסוּת	a short reference to someone or something	The article made no mention of the cost.	במאמר לא היה כל אזכור של העלות.	a short reference to someone or something	אִזְכּוּר; הַזְכָּרָה; הִתְיַחֲסוּת	TRUE	A3-015	record-specific
A	mention	Verb	A3-015	הִזְכִּיר; אִזְכֵּר; צִיֵּן	speak or write about briefly	Please mention the source in your answer.	נא לציין את המקור בתשובתכם.	speak or write about briefly	הִזְכִּיר; אִזְכֵּר; צִיֵּן	TRUE	A2-041	record-specific
A	miss	Verb	A1-076	הֶחְטִיא; הֶחְמִיץ; פִסְפֵס	fail to do, see or reach something	Hurry or you will miss the bus.	הזדרזו, אחרת תחמיצו את האוטובוס.	fail to do, see or reach something	הֶחְטִיא; הֶחְמִיץ; פִסְפֵס	TRUE	C3-015	record-specific
A	misunderstand	Verb	A1-049	הבין שלא כהלכה	understand incorrectly	I misunderstood the last question.	לא הבנתי נכון את השאלה האחרונה.	understand incorrectly	הבין שלא כהלכה	FALSE		single-entry
